Customer_ID,Frequency,Recency,Monetary,AOV,PF,ProfitMargin,CLTV,CLTV_Segment,Predicted_CLTV
12346.0,11,196,372.86,33.89636363636364,0.0561224489795918,0.1,69.43566326530613,D,-0.5445041464256519
12347.0,2,37,1323.32,661.66,0.054054054054054,0.1,1305.4372972972972,A,1168.116574651555
12349.0,3,181,2671.14,890.38,0.0165745856353591,0.1,538.6553038674033,B,1065.2774862036817
12352.0,2,16,343.8,171.9,0.125,0.1,784.29375,A,1277.97534233792
12356.0,3,44,3562.25,1187.4166666666667,0.0681818181818181,0.1,2955.048295454545,A,2201.3163547235918
12358.0,3,356,2719.01,906.3366666666668,0.0084269662921348,0.1,278.77490168539333,C,931.282678090098
12359.0,6,308,2563.36,427.2266666666667,0.0194805194805194,0.1,303.7748051948052,B,348.96105119737615
12360.0,5,276,1590.83,318.166,0.0181159420289855,0.1,210.38150362318845,C,141.91616632027126
12361.0,3,220,321.35,107.11666666666667,0.0136363636363636,0.1,53.31488636363637,D,-231.993568504846
12369.0,3,228,1791.15,597.0500000000001,0.0131578947368421,0.1,286.7411184210527,C,540.3320855036213
12370.0,3,44,774.62,258.20666666666665,0.0681818181818181,0.1,642.5825,A,720.3063811016452
12371.0,3,235,2179.42,726.4733333333334,0.0127659574468085,0.1,338.5056595744681,B,739.4496213519594
12373.0,2,49,763.0500000000001,381.525,0.0408163265306122,0.1,568.3943877551021,B,582.4424333405378
12374.0,3,166,2246.29,748.7633333333333,0.0180722891566265,0.1,493.9131626506023,B,862.7333424642306
12376.0,2,28,503.15,251.575,0.0714285714285714,0.1,655.8919642857143,A,757.271737422994
12377.0,2,208,1798.2,899.1,0.0096153846153846,0.1,315.5495192307693,B,937.9546365070369
12379.0,2,112,767.98,383.99,0.0178571428571428,0.1,250.27919642857145,C,290.65587783065564
12380.0,7,197,6951.49,993.07,0.0355329949238578,0.1,1287.966421319797,A,1674.1481895109912
12388.0,2,136,1120.45,560.225,0.0147058823529411,0.1,300.7090073529412,B,511.3360568672522
12389.0,3,253,1433.33,477.7766666666666,0.0118577075098814,0.1,206.78476284584977,C,325.83443076817775
12391.0,5,198,2312.53,462.506,0.0252525252525252,0.1,426.2997222222223,B,507.9042949535335
12393.0,2,46,816.85,408.425,0.0434782608695652,0.1,648.1527173913043,A,655.8795874738028
12395.0,4,231,2048.64,512.16,0.0173160173160173,0.1,323.7028571428572,B,471.1307590087297
12399.0,3,259,853.65,284.55,0.0115830115830115,0.1,120.30202702702702,D,12.451705865083795
12402.0,5,277,1031.3,206.26,0.0180505415162454,0.1,135.89332129963898,D,-55.5633202961435
12406.0,3,297,2975.06,991.6866666666666,0.0101010101010101,0.1,365.6218518518519,B,1108.3093101466359
12408.0,3,112,1452.22,484.0733333333333,0.0267857142857142,0.1,473.268125,B,563.7690999482805
12409.0,4,144,12346.62,3086.655,0.0277777777777777,0.1,3129.525208333333,A,4936.823669995774
12412.0,3,137,1370.05,456.6833333333333,0.0218978102189781,0.1,365.0133211678833,B,453.0581279107074
12415.0,7,152,19543.84,2791.977142857143,0.0460526315789473,0.1,4693.093157894737,A,5260.688191634594
12417.0,11,323,3167.81,287.9827272727273,0.0340557275541795,0.1,357.9723374613004,B,259.98545444095384
12418.0,3,216,1352.62,450.8733333333333,0.0138888888888888,0.1,228.56773148148147,C,320.3311130270232
12419.0,2,27,503.01,251.505,0.074074074074074,0.1,679.995,A,788.9800629429556
12421.0,2,90,291.56,145.78,0.0222222222222222,0.1,118.24377777777778,D,-10.104060546011851
12422.0,14,327,4428.24,316.30285714285714,0.0428134556574923,0.1,494.2836697247706,B,432.0064472665009
12423.0,2,78,763.08,381.54,0.0256410256410256,0.1,357.0823076923077,B,391.6554642062622
12424.0,2,125,1579.07,789.535,0.016,0.1,461.08844,B,877.7122225950873
12429.0,5,180,3735.51,747.1020000000001,0.0277777777777777,0.1,757.4784166666668,A,1043.701907635658
12431.0,13,320,4370.52,336.1938461538462,0.040625,0.1,498.51243750000015,B,454.1817399186457
12433.0,5,110,7205.39,1441.078,0.0454545454545454,0.1,2390.8794090909096,A,2496.5234958180035
12435.0,4,340,6096.04,1524.01,0.0117647058823529,0.1,654.4278235294119,A,2060.1963439381043
12437.0,21,341,7731.99,368.19,0.0615835777126099,0.1,827.6176979472141,A,821.876279655593
12439.0,2,43,1158.18,579.09,0.0465116279069767,0.1,983.1062790697677,A,951.319180388338
12440.0,2,255,859.2,429.6,0.0078431372549019,0.1,122.98352941176472,D,189.50308991117186
12449.0,2,28,768.6,384.3,0.0714285714285714,0.1,1001.925,A,958.1487342581811
12450.0,3,75,490.32,163.44,0.04,0.1,238.62240000000003,C,223.08268986662358
12451.0,3,66,3634.36,1211.4533333333334,0.0454545454545454,0.1,2009.911212121212,A,1961.5208973102533
12454.0,4,25,13151.44,3287.86,0.16,0.1,19201.1024,A,6888.425063663646
12455.0,4,276,3413.09,853.2725,0.0144927536231884,0.1,451.3687862318841,B,992.5649368078155
12458.0,2,60,830.09,415.045,0.0333333333333333,0.1,504.9714166666667,B,540.2649124040677
12468.0,3,156,2941.2,980.4,0.0192307692307692,0.1,688.1653846153847,A,1249.2738116268545
12469.0,2,14,3070.54,1535.27,0.1428571428571428,0.1,8005.336428571429,A,3554.460939900505
12471.0,49,358,20139.74,411.01510204081626,0.1368715083798882,0.1,2053.353379888268,A,2110.0611372225612
12472.0,13,356,11308.48,869.8830769230769,0.0365168539325842,0.1,1159.4368539325842,A,1671.9264234963728
12474.0,13,288,5048.66,388.3584615384616,0.0451388888888888,0.1,639.8475347222222,A,644.3508612414873
